[28-Mar-2017 07:48:31 UTC] PHP Notice:  Undefined offset: 1 in /var/www/wordpress/wp-admin/includes/dashboard.php on line 1227
[28-Mar-2017 07:49:23 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 07:49:46 UTC] PHP Notice:  Undefined offset: 1 in /var/www/wordpress/wp-admin/includes/dashboard.php on line 1227
[28-Mar-2017 07:59:34 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:01:14 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:05:03 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:03 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:03 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:03 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:04 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:04 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:05 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:05 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:06 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:06 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:07 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:08 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:08 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:09 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:09 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:10 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:10 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:11 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:12 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:12 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:13 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:13 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:14 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:14 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:15 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:15 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:17 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:18 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:18 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:18 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:18 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:18 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:19 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:19 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:19 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:19 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:20 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:05:20 UTC] PHP Notice:  wp_get_http の使用はバージョン 4.4.0 から<strong>非推奨</strong>になっています! 代わりに WP_Http を使ってください。 in /var/www/wordpress/wp-includes/functions.php on line 3829
[28-Mar-2017 08:06:31 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:06:48 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:07:53 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:08:02 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:08:12 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:10:26 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:10:35 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
[28-Mar-2017 08:10:46 UTC] PHP Notice:  Undefined index: pickup in /var/www/wordpress/wp-content/themes/mytheme/sidebar.php on line 10
